주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수_x,ev_등록대수_y,ev_등록대수
DDP동측(양쪽) 관광버스전용 주차장(시),NS,노상 주차장,37.56608679,127.01128324,1,20,24.0,24.0,106,21.0,중구 을지로7가 2-36,중구,2000,2000,2000
가마산고가밑 공영주차장(시),NS,노상 주차장,37.492864515,126.882595635,1,18,10.0,6.0,92,18.0,구로구 구로동 414-13,구로구,3621,3621,3621
가산동 금천교 공영주차장(시),NS,노상 주차장,37.46592765,126.8871008,1,37,10.0,6.0,281,37.0,금천구 가산동 691-3,금천구,2257,2257,2257
가양3동 공영주차장(시),NW,노외 주차장,37.56033753,126.85977547,1,1,10.0,6.0,243,56.0,강서구 가양동 1488-12,강서구,8009,8009,8009
가양라이품 공영주차장(시),NW,노외 주차장,37.57155732,126.84165292,1,1,24.0,24.0,113,38.0,강서구 가양동 1457-1,강서구,8009,8009,8009
가양역 공영주차장(시),NW,노외 주차장,37.56332959,126.85308175,1,1,13.0,13.0,182,79.0,강서구 가양동 1480-10,강서구,8009,8009,8009
개화산역 공영주차장(시),NW,노외 주차장,37.57224302,126.80518976,1,1,24.0,24.0,118,320.0,강서구 방화동 845-0,강서구,8009,8009,8009
개화역 공영주차장(시),NW,노외 주차장,37.57798421,126.79821222,1,1,24.0,24.0,53,483.0,강서구 개화동 664-0,강서구,8009,8009,8009
관철동 공영주차장(시),NS,노상 주차장,37.56843983,126.98628105,1,7,13.0,5.0,221,7.0,종로구 관철동 13-14,종로구,1896,1896,1896
구로디지털단지역 공영주차장(시),NW,노외 주차장,37.48512157,126.902238615,2,2,24.0,24.0,148,91.0,구로구 구로동 810-3,구로구,3621,3621,3621
구파발역 공영주차장(시),NW,노외 주차장,37.638209,126.918987,1,1,24.0,24.0,207,399.0,은평구 진관동 70-1,은평구,3656,3656,3656
난지중앙로노상공영주차장(시),NS,노상 주차장,37.5691472,126.8804551,1,31,13.0,13.0,2,31.0,마포구 상암동 481-94 ,마포구,4083,4083,4083
남대문 시장 관광버스전용 주차장(시),NS,노상 주차장,37.559470000000005,126.9759085,1,2,24.0,24.0,220,2.0,중구 남창동 51-4,중구,2000,2000,2000
남대문 초입 관광버스전용 주차장(시),NS,노상 주차장,37.55943,126.975717,1,3,24.0,24.0,220,3.0,중구 남창동 282-10,중구,2000,2000,2000
남대문 화물 공영주차장(시),NS,노상 주차장,37.56091076,126.97788023,1,9,10.0,10.0,312,9.0,중구 남대문로4가 24-1,중구,2000,2000,2000
남부여성발전센터 공영주차장(시),NW,노외 주차장,37.462917,126.905718,1,1,24.0,24.0,48,128.0,금천구 시흥동 139-2,금천구,2257,2257,2257
남산공원 소월로 관광버스전용 주차장(시),NS,노상 주차장,37.554290705,126.978524075,1,12,24.0,24.0,78,12.0,중구 남대문로5가 450-0,중구,2000,2000,2000
