주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수
DDP동측(양쪽) 관광버스전용 주차장(시),NS,노상 주차장,37.56608679,127.01128324,1,20
가마산고가밑 공영주차장(시),NS,노상 주차장,37.492864515,126.882595635,1,18
가산동 금천교 공영주차장(시),NS,노상 주차장,37.46592765,126.8871008,1,37
가양3동 공영주차장(시),NW,노외 주차장,37.56033753,126.85977547,1,1
가양라이품 공영주차장(시),NW,노외 주차장,37.57155732,126.84165292,1,1
가양역 공영주차장(시),NW,노외 주차장,37.56332959,126.85308175,1,1
개화산역 공영주차장(시),NW,노외 주차장,37.57224302,126.80518976,1,1
개화역 공영주차장(시),NW,노외 주차장,37.57798421,126.79821222,1,1
관철동 공영주차장(시),NS,노상 주차장,37.56843983,126.98628105,1,7
구로디지털단지역 공영주차장(시),NW,노외 주차장,37.485121570000004,126.902238615,2,2
구파발역 공영주차장(시),NW,노외 주차장,37.638209,126.918987,1,1
난지중앙로노상공영주차장(시),NS,노상 주차장,37.5691472,126.8804551,1,31
남대문 시장 관광버스전용 주차장(시),NS,노상 주차장,37.559470000000005,126.9759085,1,2
남대문 초입 관광버스전용 주차장(시),NS,노상 주차장,37.55943,126.975717,1,3
남대문 화물 공영주차장(시),NS,노상 주차장,37.56091076,126.97788023,1,9
남부여성발전센터 공영주차장(시),NW,노외 주차장,37.462917,126.905718,1,1
남산공원 소월로 관광버스전용 주차장(시),NS,노상 주차장,37.554290705,126.978524075,1,12
남산공원 소파로 관광버스전용 주차장(시),NS,노상 주차장,37.55604371,126.97914481,1,21
남산예장 관광버스전용 주차장(시),NW,노외 주차장,37.559821,126.989076,1,1
남산케이블카 공영주차장(시),NS,노상 주차장,37.55592104,126.98384264,1,21
남산파출소 공영주차장(시),NS,노상 주차장,37.55489261,126.98190801,1,13
남산한옥마을 공영주차장(시),NW,노외 주차장,37.56005799,126.99316078,1,1
당고개위 공영주차장(시),NS,노상 주차장,37.670443129999995,127.08058642,1,22
당산고가밑 공영주차장(시),NS,노상 주차장,37.53239477,126.90068662,1,23
당산노외 공영주차장(시),NW,노외 주차장,37.52625065,126.89945376,1,1
대림노외 공영주차장(시),NW,노외 주차장,37.4928472,126.89433148,1,1
대림역 공영주차장(시),NS,노상 주차장,37.495401,126.89383223,2,49
도봉산 공영주차장(시),NW,노외 주차장,37.6876442,127.04066026,1,1
도봉산역 공영주차장(시),NW,노외 주차장,37.68972069,127.04483862,1,1
독산동 금천교 공영주차장(시),NS,노상 주차장,37.46658655,126.88993519,1,21
돈화문로 공영주차장(시),NS,노상 주차장,37.5647315,126.992846,1,48
동구로 공영주차장(시),NW,노외 주차장,37.49510602,126.89186155,1,1
동국제강 공영주차장(시),NW,노외 주차장,37.56733736,126.98343453,1,1
동대문 공영주차장(시),NW,노외 주차장,37.56710187,127.01214106,1,1
동순라길(종묘) 관광버스전용 주차장(시),NS,노상 주차장,37.57278931,126.99677676,1,5
동작대교 공영주차장(시),NW,노외 주차장,37.518577,126.983287,1,1
동작대교 공영주차장(시),NS,노상 주차장,37.50535472,126.9806183,1,47
동호대교(남) 공영주차장(시),NS,노상 주차장,37.53093729,127.024794275,1,18
마른내길 공영주차장(시),NS,노상 주차장,37.56433062,126.99457488,1,33
마른내로 공영주차장(시),NS,노상 주차장,37.56452799,126.99985971999999,1,14
면목유수지 공영주차장(시),NW,노외 주차장,37.579494,127.081451,1,1
명일동 공영주차장(시),NW,노외 주차장,37.55361065,127.15591212,1,1
목동체비지 공영주차장(시),NW,노외 주차장,37.53679354,126.8806468,1,1
문래1동 공영주차장(시),NS,노상 주차장,37.51355189,126.89703007,1,11
방화로 공영주차장(시),NS,노상 주차장,37.55468529,126.81629744,1,59
방화역 공영주차장(시),NW,노외 주차장,37.577437555,126.81274469,2,2
배오개길 공영주차장(시),NS,노상 주차장,37.56535114,126.998315985,1,10
볕우물 공영주차장(시),NW,노외 주차장,37.55237413,127.13512275,1,1
보라매상업 공영주차장(시),NW,노외 주차장,37.49039184,126.92340595,1,1
복정역 공영주차장(시),NW,노외 주차장,37.47005293,127.1277329,1,1
봉천복개3 공영주차장(시),NS,노상 주차장,37.48839206,126.93069135,1,59
사당노외 공영주차장(시),NW,노외 주차장,37.47543791,126.98377372,1,1
삼각지고가밑 공영주차장(시),NS,노상 주차장,37.53704625,126.96954765000001,1,16
서울글로벌센터 공영주차장(시),NW,노외 주차장,37.56983402,126.98150586,1,1
석계역 공영주차장(시),NW,노외 주차장,37.615292,127.062997,1,1
성내역(잠실나루역) 공영주차장(시),NS,노상 주차장,37.517732385,127.105057265,1,28
세종로 공영주차장(시),NW,노외 주차장,37.57340269,126.97588429,1,1
소파로케이블카앞 관광버스전용 주차장(시),NS,노상 주차장,37.55516503,126.983716475,1,2
수서역북 공영주차장(시),NW,노외 주차장,37.48801285,127.09994995,1,1
신대방역 공영주차장(시),NW,노외 주차장,37.48830327,126.91452278,1,1
신방화역 공영주차장(시),NW,노외 주차장,37.56706812,126.81757628,1,1
신설동 공영주차장(시),NW,노외 주차장,37.57252061,127.02425684,1,1
신월4동 공영주차장(시),NW,노외 주차장,37.525643,126.837692,1,1
신천유수지 공영주차장(시),NW,노외 주차장,37.52231457,127.10290327,1,1
압구정고가1 공영주차장(시),NS,노상 주차장,37.52607658,127.028388,1,19
여의도공원 공영주차장(시),NS,노상 주차장,37.5226,126.91685,1,48
영남 공영주차장(시),NW,노외 주차장,37.51947074,126.90260898,1,1
영동6교밑 공영주차장(시),NS,노상 주차장,37.494468795,127.071070055,1,38
영등포구청역 공영주차장(시),NW,노외 주차장,37.52432737,126.89548892,1,1
옥수역 공영주차장(시),NS,노상 주차장,37.54226979,127.01695354,1,31
온수역(남) 공영주차장(시),NS,노상 주차장,37.49185054,126.8241372,1,41
용산주차빌딩 공영주차장(시),NW,노외 주차장,37.53436379,126.96541818,1,1
웃우물 공영주차장(시),NW,노외 주차장,37.52379759,126.85141746,1,1
원효대교 남단 공영주차장(시),NS,노상 주차장,37.52234322,126.93684128,1,13
을지로 공영주차장(시),NS,노상 주차장,37.56664646,126.99696895,1,81
일원역 공영주차장(시),NW,노외 주차장,37.48468629,127.08408987,1,1
일원터널 공영주차장(시),NW,노외 주차장,37.48285728,127.07937197,1,1
잠실역 공영주차장(시),NW,노외 주차장,37.51427683,127.10341414,1,1
장안1동 공영주차장(시),NW,노외 주차장,37.56941,127.066994,1,1
장안2동 공영주차장(시),NW,노외 주차장,37.5782752,127.07061896,1,1
장충단로(한남광장) 관광버스전용 주차장(시),NS,노상 주차장,37.54735334,127.00265619,1,5
종묘주차장 공영주차장(시),NW,노외 주차장,37.57150398,126.99496888,1,1
진흥로 공영주차장(시),NS,노상 주차장,37.60134935,126.92020205,1,14
창동역(서) 공영주차장(시),NW,노외 주차장,37.65237042,127.04567683,1,1
천왕역 공영주차장(시),NW,노외 주차장,37.48728845,126.83918316,1,1
천호역 공영주차장(시),NW,노외 주차장,37.53849749,127.12512853,1,1
청계1(북) 공영주차장(시),NS,노상 주차장,37.56829844,126.988535675,1,12
청계2 공영주차장(시),NS,노상 주차장,37.56882001,126.9933552,3,31
청계3 공영주차장(시),NS,노상 주차장,37.56903312,126.99929159,5,69
청계5 공영주차장(시),NS,노상 주차장,37.56951246,127.00563405,6,103
청계6 공영주차장(시),NS,노상 주차장,37.56997040500001,127.012650815,4,46
청계7가 공영주차장(시),NS,노상 주차장,37.57167001,127.01971298,1,39
청계8가 공영주차장(시),NS,노상 주차장,37.570273685000004,127.02767654,3,112
탑골공원 관광버스전용 주차장(시),NS,노상 주차장,37.57130525,126.98776441000001,1,2
파미에(반포천) 주차장(시),NW,노외 주차장,37.504517,127.007933,1,1
학여울 공영주차장(시),NW,노외 주차장,37.49705092,127.07239543,1,1
한강진역 공영주차장(시),NW,노외 주차장,37.53952176,127.00257963,1,1
해군본부앞 공영주차장(시),NS,노상 주차장,37.504340920000004,126.92099225999999,1,20
훈련원공원 공영주차장(시),NW,노외 주차장,37.56740014,127.00352062,1,1
훈련원공원 앞 관광버스 전용 주차장(시),NS,노상 주차장,37.566832250000004,127.00385299999999,1,2
