pklt_nm,pklt_knd_nm,lat,lot,addr,자치구,평일운영시간,주말운영시간,운영시간,ev_충전소_500m,ev_등록대수
15-가600구간,노상 주차장,37.54841,127.15158,강동구 명일동 583-0,강동구,24.0,24.0,24.0,62,5653
21-37,노외 주차장,37.5122807,127.0855986,송파구 잠실동 348-0,송파구,24.0,24.0,24.0,208,7851
BYC,노상 주차장,37.4753253,126.8863954,금천구 가산동 371-57,금천구,11.0,24.0,14.714285714285714,416,2257
KBS별관뒤 노상주차장,노상 주차장,37.5267088,126.9238,영등포구 여의도동 4-5,영등포구,10.0,6.0,8.857142857142858,262,4323
KBS별관옆 노상주차장,노상 주차장,37.5267088,126.9238,영등포구 여의도동 4-4,영등포구,10.0,6.0,8.857142857142858,262,4323
KBS본관 앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구 여의도동 1-7,영등포구,10.0,6.0,8.857142857142858,262,4323
KBS본관뒤,노상 주차장,37.5267088,126.9238,영등포구 여의도동 1-9,영등포구,10.0,6.0,8.857142857142858,262,4323
LG텔레콤,노상 주차장,37.4753253,126.8863954,금천구 가산동 60-36,금천구,11.0,8.0,10.142857142857142,416,2257
MBC방송국뒤 노상주차장,노상 주차장,37.5267088,126.9238,영등포구 여의도동 3-1,영등포구,10.0,6.0,8.857142857142858,262,4323
SJ테크노빌,노상 주차장,37.4753253,126.8863954,금천구 가산동 60-19,금천구,11.0,8.0,10.142857142857142,416,2257
舊MBC뒤,노상 주차장,37.5267088,126.9238,영등포구 여의도동 3-0,영등포구,10.0,6.0,8.857142857142858,262,4323
가든예식장 앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구 여의도동 2-5,영등포구,10.0,6.0,8.857142857142858,262,4323
가락 1공영주차장,노외 주차장,37.49672,127.11744,송파구 가락동 98-1,송파구,24.0,24.0,24.0,210,7851
가락 2공영주차장,노외 주차장,37.49672,127.11744,송파구 가락동 80-2,송파구,24.0,24.0,24.0,210,7851
