pklt_nm,pklt_knd_nm,tpkct,add_crg_std,add_crg_std_filled,is_add_crg_imputed,lat,lot,addr
15-가600구간,노상 주차장,1.0,,400.0,True,37.54841,127.15158,강동구 명일동 583-0
21-37,노외 주차장,13.0,,400.0,True,37.5122807,127.0855986,송파구 잠실동 348-0
BYC,노상 주차장,1.0,500.0,500.0,False,37.4753253,126.8863954,금천구 가산동 371-57
KBS별관뒤 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 4-5
KBS별관옆 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 4-4
KBS본관 앞 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 1-7
KBS본관뒤,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 1-9
LG텔레콤,노상 주차장,1.0,,400.0,True,37.4753253,126.8863954,금천구 가산동 60-36
MBC방송국뒤 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 3-1
SJ테크노빌,노상 주차장,1.0,,400.0,True,37.4753253,126.8863954,금천구 가산동 60-19
舊MBC뒤,노상 주차장,2.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 3-0
가든예식장 앞 노상주차장,노상 주차장,2.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 2-5
가락 1공영주차장,노외 주차장,48.0,500.0,500.0,False,37.49672,127.11744,송파구 가락동 98-1
가락 2공영주차장,노외 주차장,84.0,500.0,500.0,False,37.49672,127.11744,송파구 가락동 80-2
가로공원 지하 주차장,노외 주차장,512.0,200.0,200.0,False,37.54208,126.84656,강서구 화곡동 662-15
가로공원공영주차장,노외 주차장,376.0,300.0,300.0,False,37.52782,126.83692,양천구 신월동 263-0
가마산고가밑 공영주차장,노상 주차장,18.0,240.0,240.0,False,37.492864515,126.882595635,구로구 구로동 414-13
가산동 공영주차장,노외 주차장,130.0,130.0,130.0,False,37.4753253,126.8863954,금천구 가산동 148-28
가산동 금천교 공영주차장,노상 주차장,37.0,400.0,400.0,False,37.46592765,126.8871008,금천구 가산동 691-3
가산디지털 서측,노외 주차장,160.0,300.0,300.0,False,37.4753253,126.8863954,금천구 가산동 505-3
가산디지털환승,노상 주차장,1.0,,400.0,True,37.4753253,126.8863954,금천구 가산동 35-2
가산중뒤,노상 주차장,1.0,,400.0,True,37.468399,126.8979571,금천구 독산동 300-21
가산중앞,노상 주차장,1.0,,400.0,True,37.468399,126.8979571,금천구 독산동 300-26
가양3동 공영주차장,노외 주차장,56.0,400.0,400.0,False,37.56033753,126.85977547,강서구 가양동 1488-12
가양3동 황금내공원길,노상 주차장,1.0,200.0,200.0,False,37.5663502,126.8525524,강서구 가양동 1485-0
가양라이품 공영주차장,노외 주차장,38.0,400.0,400.0,False,37.57155732,126.84165292,강서구 가양동 1457-1
가양역 공영주차장,노외 주차장,79.0,640.0,640.0,False,37.56332959,126.85308175,강서구 가양동 1480-10
가오리 공영주차장,노외 주차장,120.0,300.0,300.0,False,37.6352212,127.0090642,강북구 수유동 349-3
가오천 노상공영주차장,노상 주차장,1.0,400.0,400.0,False,37.6352212,127.0090642,강북구 수유동 181-40
가재울 공영주차장,노외 주차장,121.0,300.0,300.0,False,37.63793,127.07251,노원구 하계동 252-6
간송옛집 공영주차장,노외 주차장,15.0,,400.0,True,37.66442,127.03333,도봉구 방학동 58-10
갈현1동공영주차장,노외 주차장,61.0,200.0,200.0,False,37.62058,126.91102,은평구 갈현동 9-112
강남구 개포동 1-1,노외 주차장,1.0,,400.0,True,37.48421,127.07006,강남구 개포동 1-1
강남대로150길,노상 주차장,1.0,1600.0,1600.0,False,37.5123018,127.0294935,강남구 논현동 280-1
강남세곡체육공원,노외 주차장,60.0,400.0,400.0,False,37.4708898,127.1033677,강남구 세곡동 1-7
강남치매지원센터 공영주차장,노외 주차장,90.0,800.0,800.0,False,37.5147838,127.0543618,강남구 삼성동 113-26
강남한티주차장,노외 주차장,20.0,1000.0,1000.0,False,37.49988,127.03856,강남구 역삼동 765-16
강변(건물) 공영주차장,노외 주차장,99.0,,400.0,True,37.5435,127.03742,성동구 성수동1가 366-1
강일동 주차장,노외 주차장,90.0,300.0,300.0,False,37.56723,127.1713,강동구 강일동 665-4
개봉1동 노외주차장,노외 주차장,134.0,200.0,200.0,False,37.4931629,126.851736,구로구 개봉동 134-8
개봉1동마을공동주차장,노외 주차장,56.0,100.0,100.0,False,37.4931629,126.851736,구로구 개봉동 416-2
개봉고가 공영주차장,노외 주차장,20.0,200.0,200.0,False,37.4931629,126.851736,구로구 개봉동 403-10
