주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수,총주차면_norm,평일운영_norm,주말운영_norm,ev_충전소_역,ev_등록_norm,ev_충전소_역_norm,자체소비_점수,EV충전_점수,축3_자가소비적합성
DDP동측(양쪽) 관광버스전용 주차장(시),NS,노상 주차장,37.56608679,127.01128324,1,20,24.0,24.0,106,21.0,중구 을지로7가 2-36,중구,2000,0.013296011196641006,1.0,1.0,304,0.007662835249042127,0.7450980392156863,0.6710986703988803,0.3763804372323642,0.5237395538156222
가마산고가밑 공영주차장(시),NS,노상 주차장,37.492864515,126.882595635,1,18,10.0,6.0,92,18.0,구로구 구로동 414-13,구로구,3621,0.01119664100769769,0.06666666666666665,0.05263157894736842,318,0.12709991158267017,0.7794117647058824,0.04349829554057758,0.4532558381442763,0.24837706684242694
가산동 금천교 공영주차장(시),NS,노상 주차장,37.46592765,126.8871008,1,37,10.0,6.0,281,37.0,금천구 가산동 691-3,금천구,2257,0.0244926522043387,0.06666666666666665,0.05263157894736842,129,0.02659888004715591,0.3161764705882353,0.047930299272791264,0.1713876753176956,0.10965898729524344
가양3동 공영주차장(시),NW,노외 주차장,37.56033753,126.85977547,1,1,10.0,6.0,243,56.0,강서구 가양동 1488-12,강서구,8009,0.03778866340097971,0.06666666666666665,0.05263157894736842,167,0.45041261420571765,0.40931372549019607,0.05236230300500492,0.42986316984795686,0.2411127364264809
가양라이품 공영주차장(시),NW,노외 주차장,37.57155732,126.84165292,1,1,24.0,24.0,113,38.0,강서구 가양동 1457-1,강서구,8009,0.025192442267319804,1.0,1.0,297,0.45041261420571765,0.7279411764705882,0.6750641474224399,0.5891768953381529,0.6321205213802964
가양역 공영주차장(시),NW,노외 주차장,37.56332959,126.85308175,1,1,13.0,13.0,182,79.0,강서구 가양동 1480-10,강서구,8009,0.053883834849545134,0.2666666666666667,0.4210526315789473,228,0.45041261420571765,0.5588235294117647,0.24720104436505305,0.5046180718087412,0.37590955808689713
개화산역 공영주차장(시),NW,노외 주차장,37.57224302,126.80518976,1,1,24.0,24.0,118,320.0,강서구 방화동 845-0,강서구,8009,0.22253324002799157,1.0,1.0,292,0.45041261420571765,0.7156862745098039,0.7408444133426638,0.5830494443577607,0.6619469288502122
개화역 공영주차장(시),NW,노외 주차장,37.57798421,126.79821222,1,1,24.0,24.0,53,483.0,강서구 개화동 664-0,강서구,8009,0.3365990202939118,1.0,1.0,357,0.45041261420571765,0.875,0.7788663400979706,0.6627063071028588,0.7207863236004147
관철동 공영주차장(시),NS,노상 주차장,37.56843983,126.98628105,1,7,13.0,5.0,221,7.0,종로구 관철동 13-14,종로구,1896,0.0034989503149055285,0.2666666666666667,0.0,189,0.0,0.4632352941176471,0.09005520566052409,0.23161764705882354,0.16083642635967382
구로디지털단지역 공영주차장(시),NW,노외 주차장,37.48512157,126.902238615,2,2,24.0,24.0,148,91.0,구로구 구로동 810-3,구로구,3621,0.062281315605318396,1.0,1.0,262,0.12709991158267017,0.642156862745098,0.6874271052017727,0.3846283871638841,0.5360277461828284
