주차장명,위도,경도,축3_자가소비적합성
DDP동측(양쪽) 관광버스전용 주차장(시),37.56608679,127.01128324,0.5237395538156222
가마산고가밑 공영주차장(시),37.492864515,126.882595635,0.24837706684242694
가산동 금천교 공영주차장(시),37.46592765,126.8871008,0.10965898729524344
가양3동 공영주차장(시),37.56033753,126.85977547,0.2411127364264809
가양라이품 공영주차장(시),37.57155732,126.84165292,0.6321205213802964
가양역 공영주차장(시),37.56332959,126.85308175,0.37590955808689713
개화산역 공영주차장(시),37.57224302,126.80518976,0.6619469288502122
개화역 공영주차장(시),37.57798421,126.79821222,0.7207863236004147
관철동 공영주차장(시),37.56843983,126.98628105,0.16083642635967382
구로디지털단지역 공영주차장(시),37.48512157,126.902238615,0.5360277461828284
구파발역 공영주차장(시),37.638209,126.918987,0.536443051661312
난지중앙로노상공영주차장(시),37.5691472,126.8804551,0.40828734756727186
남대문 시장 관광버스전용 주차장(시),37.559470000000005,126.9759085,0.4516706107730448
남대문 초입 관광버스전용 주차장(시),37.55943,126.975717,0.4517872424502084
남대문 화물 공영주차장(시),37.56091076,126.97788023,0.11775191039416641
남부여성발전센터 공영주차장(시),37.462917,126.905718,0.5764923701579217
남산공원 소월로 관광버스전용 주차장(시),37.554290705,126.978524075,0.5398467314662486
남산공원 소파로 관광버스전용 주차장(시),37.55604371,126.97914481,0.5065826910705242
남산예장 관광버스전용 주차장(시),37.559821,126.989076,0.44820734505719717
남산케이블카 공영주차장(시),37.55592104,126.98384264,0.28024110180323836
남산파출소 공영주차장(시),37.55489261,126.98190801,0.25113950634448345
남산한옥마을 공영주차장(시),37.56005799,126.99316078,0.2971523534621404
당고개위 공영주차장(시),37.67044313,127.08058642,0.37551592883036106
당산고가밑 공영주차장(시),37.53239477,126.90068662,0.1117687106913953
당산노외 공영주차장(시),37.52625065,126.89945376,0.25708339415013476
대림노외 공영주차장(시),37.4928472,126.89433148,0.29098667173185794
대림역 공영주차장(시),37.495401,126.89383223,0.26498457191342084
도봉산 공영주차장(시),37.6876442,127.04066026,0.367055101911671
도봉산역 공영주차장(시),37.68972069,127.04483862,0.5073355517464487
독산동 금천교 공영주차장(시),37.46658655,126.88993519,0.10595464516650951
돈화문로 공영주차장(시),37.5647315,126.992846,0.24285008140725878
동구로 공영주차장(시),37.49510602,126.89186155,0.5606558969532837
동국제강 공영주차장(시),37.56733736,126.98343453,0.12495863318125186
동대문 공영주차장(시),37.56710187,127.01214106,0.6321079624106909
동순라길(종묘) 관광버스전용 주차장(시),37.57278931,126.99677676,0.5371146009138434
동작대교 공영주차장(시),37.518577,126.983287,0.3825161845348565
동작대교 공영주차장(시),37.50535472,126.9806183,0.4015112825740722
동호대교(남) 공영주차장(시),37.53093729,127.024794275,0.5476456905979461
마른내길 공영주차장(시),37.56433062,126.99457488,0.24048786115176676
마른내로 공영주차장(시),37.56452799,126.99985972,0.37096234776175213
면목유수지 공영주차장(시),37.579494,127.081451,0.5983344636936756
명일동 공영주차장(시),37.55361065,127.15591212,0.21767038661161814
목동체비지 공영주차장(시),37.53679354,126.8806468,0.33371592651859466
문래1동 공영주차장(시),37.51355189,126.89703007,0.2163740325262174
방화로 공영주차장(시),37.55468529,126.81629744,0.4784068315656722
방화역 공영주차장(시),37.577437555,126.81274469,0.3830536771060933
배오개길 공영주차장(시),37.56535114,126.998315985,0.23719258747896665
볕우물 공영주차장(시),37.55237413,127.13512275,0.5606771470361912
보라매상업 공영주차장(시),37.49039184,126.92340595,0.2773295852922584
복정역 공영주차장(시),37.47005293,127.1277329,0.7129546633617445
봉천복개3 공영주차장(시),37.48839206,126.93069135,0.2847042318116408
사당노외 공영주차장(시),37.47543791,126.98377372,0.6666305221902336
삼각지고가밑 공영주차장(시),37.53704625,126.96954765,0.07261156583618679
서울글로벌센터 공영주차장(시),37.56983402,126.98150586,0.24264362848008342
석계역 공영주차장(시),37.615292,127.062997,0.5562061659886598
성내역(잠실나루역) 공영주차장(시),37.517732385,127.105057265,0.16730676717332557
세종로 공영주차장(시),37.57340269,126.97588429,0.5597128459501365
소파로케이블카앞 관광버스전용 주차장(시),37.55516503,126.983716475,0.5394097914698163
수서역북 공영주차장(시),37.48801285,127.09994995,0.8480799510146955
신대방역 공영주차장(시),37.48830327,126.91452278,0.5817270382394063
신방화역 공영주차장(시),37.56706812,126.81757628,0.5896237115997013
신설동 공영주차장(시),37.57252061,127.02425684,0.241829392923406
신월4동 공영주차장(시),37.525643,126.837692,0.5685365544616188
신천유수지 공영주차장(시),37.52231457,127.10290327,0.6741321802047309
압구정고가1 공영주차장(시),37.52607658,127.028388,0.573516966237958
여의도공원 공영주차장(시),37.5226,126.91685,0.27840407547411733
영남 공영주차장(시),37.51947074,126.90260898,0.5888939814778924
영동6교밑 공영주차장(시),37.494468795,127.071070055,0.5140521115509172
영등포구청역 공영주차장(시),37.52432737,126.89548892,0.4991767789915795
