그룹,그룹2,그룹3,시군구_코드,시군구명,연료_코드,연료명,용도별_코드,용도별,승용,승합,화물,특수,계
1,1,1,,합 계,,계,,계,2770212,79389,296086,11753,3157440
0,0,0,11110,종로구,j,CNG,2,비사업용,3,6,13,0,22
0,0,0,11110,종로구,j,CNG,1,사업용,0,69,0,0,69
0,0,0,11110,종로구,b,경유,2,비사업용,8149,2497,3123,150,13919
0,0,0,11110,종로구,b,경유,1,사업용,3,140,1302,99,1544
0,0,0,11110,종로구,z,기타연료,2,비사업용,1,28,67,36,132
0,0,0,11110,종로구,z,기타연료,1,사업용,0,0,130,0,130
0,0,0,11110,종로구,q,수소,2,비사업용,85,13,0,0,98
0,0,0,11110,종로구,r,수소전기,2,비사업용,16,0,0,0,16
0,0,0,11110,종로구,c,엘피지,2,비사업용,1166,161,346,9,1682
0,0,0,11110,종로구,c,엘피지,1,사업용,202,1,158,0,361
0,0,0,11110,종로구,e,전기,2,비사업용,1458,4,185,6,1653
0,0,0,11110,종로구,e,전기,1,사업용,55,38,150,0,243
0,0,0,11110,종로구,n,하이브리드(LPG+전기),2,비사업용,12,0,0,0,12
0,0,0,11110,종로구,m,하이브리드(경유+전기),2,비사업용,113,0,0,0,113
0,0,0,11110,종로구,l,하이브리드(휘발유+전기),2,비사업용,4816,13,18,0,4847
0,0,0,11110,종로구,l,하이브리드(휘발유+전기),1,사업용,6,4,0,0,10
0,0,0,11110,종로구,a,휘발유,2,비사업용,9383,34,76,1,9494
0,0,0,11110,종로구,a,휘발유,1,사업용,2,0,0,0,2
0,0,0,11110,종로구,h,휘발유(무연),2,비사업용,15403,24,21,1,15449
0,0,0,11110,종로구,h,휘발유(무연),1,사업용,11,0,0,0,11
0,0,0,11110,종로구,g,휘발유(유연),2,비사업용,14,0,0,0,14
0,0,0,11140,중구,j,CNG,2,비사업용,2,1,17,0,20
0,0,0,11140,중구,j,CNG,1,사업용,0,2,0,0,2
0,0,0,11140,중구,b,경유,2,비사업용,8183,1544,3724,190,13641
0,0,0,11140,중구,b,경유,1,사업용,196,283,836,86,1401
0,0,0,11140,중구,z,기타연료,2,비사업용,4,23,89,30,146
0,0,0,11140,중구,z,기타연료,1,사업용,0,0,49,0,49
0,0,0,11140,중구,q,수소,2,비사업용,57,1,0,0,58
0,0,0,11140,중구,q,수소,1,사업용,11,0,0,0,11
0,0,0,11140,중구,r,수소전기,2,비사업용,24,0,0,0,24
0,0,0,11140,중구,c,엘피지,2,비사업용,998,631,527,7,2163
0,0,0,11140,중구,c,엘피지,1,사업용,233,0,117,0,350
0,0,0,11140,중구,e,전기,2,비사업용,1624,13,132,1,1770
0,0,0,11140,중구,e,전기,1,사업용,134,2,94,0,230
0,0,0,11140,중구,n,하이브리드(LPG+전기),2,비사업용,12,0,0,0,12
0,0,0,11140,중구,m,하이브리드(경유+전기),2,비사업용,163,0,0,0,163
0,0,0,11140,중구,m,하이브리드(경유+전기),1,사업용,4,0,0,0,4
0,0,0,11140,중구,l,하이브리드(휘발유+전기),2,비사업용,4895,11,22,0,4928
0,0,0,11140,중구,l,하이브리드(휘발유+전기),1,사업용,215,1,0,0,216
0,0,0,11140,중구,a,휘발유,2,비사업용,9252,41,46,0,9339
0,0,0,11140,중구,a,휘발유,1,사업용,42,0,0,0,42
0,0,0,11140,중구,h,휘발유(무연),2,비사업용,13643,158,35,0,13836
0,0,0,11140,중구,h,휘발유(무연),1,사업용,397,0,0,0,397
0,0,0,11140,중구,g,휘발유(유연),2,비사업용,8,0,0,0,8
0,0,0,11170,용산구,j,CNG,2,비사업용,0,0,13,0,13
0,0,0,11170,용산구,j,CNG,1,사업용,0,10,0,0,10
0,0,0,11170,용산구,b,경유,2,비사업용,12606,1305,3851,112,17874
0,0,0,11170,용산구,b,경유,1,사업용,98,53,808,33,992
0,0,0,11170,용산구,z,기타연료,2,비사업용,59,23,125,35,242
0,0,0,11170,용산구,z,기타연료,1,사업용,0,0,11,0,11
0,0,0,11170,용산구,q,수소,2,비사업용,84,0,0,0,84
0,0,0,11170,용산구,r,수소전기,2,비사업용,9,0,0,0,9
0,0,0,11170,용산구,c,엘피지,2,비사업용,1592,202,472,2,2268
0,0,0,11170,용산구,c,엘피지,1,사업용,380,8,169,0,557
0,0,0,11170,용산구,e,전기,2,비사업용,2304,7,221,2,2534
0,0,0,11170,용산구,e,전기,1,사업용,71,0,69,0,140
0,0,0,11170,용산구,n,하이브리드(LPG+전기),2,비사업용,15,0,0,0,15
0,0,0,11170,용산구,n,하이브리드(LPG+전기),1,사업용,1,0,0,0,1
0,0,0,11170,용산구,m,하이브리드(경유+전기),2,비사업용,231,0,0,0,231
0,0,0,11170,용산구,m,하이브리드(경유+전기),1,사업용,32,0,0,0,32
0,0,0,11170,용산구,l,하이브리드(휘발유+전기),2,비사업용,7949,18,22,1,7990
0,0,0,11170,용산구,l,하이브리드(휘발유+전기),1,사업용,235,1,0,0,236
0,0,0,11170,용산구,a,휘발유,2,비사업용,16873,17,78,2,16970
0,0,0,11170,용산구,a,휘발유,1,사업용,102,0,0,0,102
0,0,0,11170,용산구,h,휘발유(무연),2,비사업용,21153,25,30,0,21208
0,0,0,11170,용산구,h,휘발유(무연),1,사업용,162,0,0,0,162
0,0,0,11170,용산구,g,휘발유(유연),2,비사업용,17,0,0,0,17
0,0,0,11200,성동구,j,CNG,2,비사업용,2,8,18,0,28
0,0,0,11200,성동구,j,CNG,1,사업용,0,229,0,0,229
0,0,0,11200,성동구,b,경유,2,비사업용,18315,1291,6517,158,26281
0,0,0,11200,성동구,b,경유,1,사업용,322,409,1263,150,2144
0,0,0,11200,성동구,z,기타연료,2,비사업용,3,34,119,55,211
0,0,0,11200,성동구,z,기타연료,1,사업용,0,0,251,0,251
0,0,0,11200,성동구,q,수소,2,비사업용,77,0,0,0,77
0,0,0,11200,성동구,q,수소,1,사업용,0,6,0,0,6
0,0,0,11200,성동구,r,수소전기,2,비사업용,6,0,0,0,6
0,0,0,11200,성동구,r,수소전기,1,사업용,0,6,0,0,6
0,0,0,11200,성동구,c,엘피지,2,비사업용,2841,291,1012,7,4151
0,0,0,11200,성동구,c,엘피지,1,사업용,1676,91,303,0,2070
0,0,0,11200,성동구,e,전기,2,비사업용,3119,8,349,4,3480
0,0,0,11200,성동구,e,전기,1,사업용,545,194,112,0,851
0,0,0,11200,성동구,n,하이브리드(LPG+전기),2,비사업용,19,0,0,0,19
0,0,0,11200,성동구,n,하이브리드(LPG+전기),1,사업용,1,0,0,0,1
0,0,0,11200,성동구,m,하이브리드(경유+전기),2,비사업용,306,0,0,0,306
0,0,0,11200,성동구,m,하이브리드(경유+전기),1,사업용,20,0,0,0,20
0,0,0,11200,성동구,l,하이브리드(휘발유+전기),2,비사업용,10664,17,54,1,10736
0,0,0,11200,성동구,l,하이브리드(휘발유+전기),1,사업용,333,0,0,0,333
0,0,0,11200,성동구,a,휘발유,2,비사업용,18366,11,82,5,18464
0,0,0,11200,성동구,a,휘발유,1,사업용,220,0,0,0,220
0,0,0,11200,성동구,h,휘발유(무연),2,비사업용,30129,18,30,0,30177
0,0,0,11200,성동구,h,휘발유(무연),1,사업용,4909,0,0,0,4909
0,0,0,11200,성동구,g,휘발유(유연),2,비사업용,27,0,0,0,27
0,0,0,11215,광진구,j,CNG,2,비사업용,3,2,9,0,14
0,0,0,11215,광진구,j,CNG,1,사업용,0,122,0,0,122
0,0,0,11215,광진구,b,경유,2,비사업용,17798,1420,6480,119,25817
0,0,0,11215,광진구,b,경유,1,사업용,217,154,1073,89,1533
0,0,0,11215,광진구,z,기타연료,2,비사업용,1,43,97,18,159
0,0,0,11215,광진구,z,기타연료,1,사업용,0,0,4,0,4
0,0,0,11215,광진구,q,수소,2,비사업용,61,0,2,0,63
0,0,0,11215,광진구,r,수소전기,2,비사업용,6,0,0,0,6
0,0,0,11215,광진구,c,엘피지,2,비사업용,3250,322,1474,6,5052
0,0,0,11215,광진구,c,엘피지,1,사업용,1574,5,320,0,1899
0,0,0,11215,광진구,e,전기,2,비사업용,1898,7,194,4,2103
0,0,0,11215,광진구,e,전기,1,사업용,216,29,97,0,342
0,0,0,11215,광진구,n,하이브리드(LPG+전기),2,비사업용,23,0,0,0,23
0,0,0,11215,광진구,n,하이브리드(LPG+전기),1,사업용,3,0,0,0,3
0,0,0,11215,광진구,m,하이브리드(경유+전기),2,비사업용,188,0,0,0,188
0,0,0,11215,광진구,m,하이브리드(경유+전기),1,사업용,19,0,0,0,19
0,0,0,11215,광진구,l,하이브리드(휘발유+전기),2,비사업용,9063,19,23,0,9105
0,0,0,11215,광진구,l,하이브리드(휘발유+전기),1,사업용,235,18,0,0,253
0,0,0,11215,광진구,a,휘발유,2,비사업용,16293,5,78,2,16378
0,0,0,11215,광진구,a,휘발유,1,사업용,113,0,0,0,113
0,0,0,11215,광진구,h,휘발유(무연),2,비사업용,31165,26,63,0,31254
0,0,0,11215,광진구,h,휘발유(무연),1,사업용,633,0,0,0,633
0,0,0,11215,광진구,g,휘발유(유연),2,비사업용,30,0,0,0,30
0,0,0,11230,동대문구,j,CNG,2,비사업용,2,4,14,0,20
0,0,0,11230,동대문구,j,CNG,1,사업용,0,19,0,0,19
0,0,0,11230,동대문구,b,경유,2,비사업용,19934,1842,7708,171,29655
0,0,0,11230,동대문구,b,경유,1,사업용,78,102,1566,93,1839
0,0,0,11230,동대문구,z,기타연료,2,비사업용,3,38,142,41,224
0,0,0,11230,동대문구,z,기타연료,1,사업용,0,0,5,0,5
0,0,0,11230,동대문구,q,수소,2,비사업용,73,0,0,0,73
0,0,0,11230,동대문구,q,수소,1,사업용,1,0,0,0,1
0,0,0,11230,동대문구,r,수소전기,2,비사업용,11,0,0,0,11
0,0,0,11230,동대문구,c,엘피지,2,비사업용,3900,357,1203,9,5469
0,0,0,11230,동대문구,c,엘피지,1,사업용,1754,3,482,2,2241
0,0,0,11230,동대문구,e,전기,2,비사업용,2266,4,313,2,2585
0,0,0,11230,동대문구,e,전기,1,사업용,272,2,162,0,436
0,0,0,11230,동대문구,n,하이브리드(LPG+전기),2,비사업용,26,0,0,0,26
0,0,0,11230,동대문구,n,하이브리드(LPG+전기),1,사업용,5,0,0,0,5
0,0,0,11230,동대문구,m,하이브리드(경유+전기),2,비사업용,195,0,0,0,195
0,0,0,11230,동대문구,m,하이브리드(경유+전기),1,사업용,54,0,0,0,54
0,0,0,11230,동대문구,l,하이브리드(휘발유+전기),2,비사업용,10140,20,32,0,10192
0,0,0,11230,동대문구,l,하이브리드(휘발유+전기),1,사업용,227,0,4,0,231
0,0,0,11230,동대문구,a,휘발유,2,비사업용,17316,11,86,2,17415
0,0,0,11230,동대문구,a,휘발유,1,사업용,277,0,0,0,277
0,0,0,11230,동대문구,h,휘발유(무연),2,비사업용,35544,28,51,1,35624
0,0,0,11230,동대문구,h,휘발유(무연),1,사업용,82,0,0,0,82
0,0,0,11230,동대문구,g,휘발유(유연),2,비사업용,32,0,0,0,32
0,0,0,11260,중랑구,j,CNG,2,비사업용,9,2,9,0,20
0,0,0,11260,중랑구,j,CNG,1,사업용,0,258,0,0,258
0,0,0,11260,중랑구,b,경유,2,비사업용,21583,2079,9264,212,33138
0,0,0,11260,중랑구,b,경유,1,사업용,270,165,1905,306,2646
0,0,0,11260,중랑구,z,기타연료,2,비사업용,2,40,104,25,171
0,0,0,11260,중랑구,z,기타연료,1,사업용,0,0,18,0,18
0,0,0,11260,중랑구,q,수소,2,비사업용,70,0,0,0,70
0,0,0,11260,중랑구,r,수소전기,2,비사업용,5,0,0,0,5
0,0,0,11260,중랑구,c,엘피지,2,비사업용,5446,462,1290,15,7213
0,0,0,11260,중랑구,c,엘피지,1,사업용,4444,30,569,17,5060
0,0,0,11260,중랑구,e,전기,2,비사업용,1780,3,299,3,2085
0,0,0,11260,중랑구,e,전기,1,사업용,721,125,227,0,1073
0,0,0,11260,중랑구,n,하이브리드(LPG+전기),2,비사업용,26,0,0,0,26
0,0,0,11260,중랑구,n,하이브리드(LPG+전기),1,사업용,6,0,0,0,6
0,0,0,11260,중랑구,m,하이브리드(경유+전기),2,비사업용,136,0,0,0,136
0,0,0,11260,중랑구,m,하이브리드(경유+전기),1,사업용,2,0,0,0,2
0,0,0,11260,중랑구,l,하이브리드(휘발유+전기),2,비사업용,8726,16,51,3,8796
0,0,0,11260,중랑구,l,하이브리드(휘발유+전기),1,사업용,181,0,3,0,184
0,0,0,11260,중랑구,a,휘발유,2,비사업용,15688,13,96,0,15797
0,0,0,11260,중랑구,a,휘발유,1,사업용,11,0,1,0,12
0,0,0,11260,중랑구,h,휘발유(무연),2,비사업용,37714,16,49,0,37779
0,0,0,11260,중랑구,h,휘발유(무연),1,사업용,328,0,0,0,328
0,0,0,11260,중랑구,g,휘발유(유연),2,비사업용,40,0,0,0,40
0,0,0,11290,성북구,j,CNG,2,비사업용,7,8,15,0,30
0,0,0,11290,성북구,j,CNG,1,사업용,0,628,0,0,628
0,0,0,11290,성북구,b,경유,2,비사업용,23890,2011,6625,158,32684
0,0,0,11290,성북구,b,경유,1,사업용,5,256,1100,98,1459
0,0,0,11290,성북구,z,기타연료,2,비사업용,2,58,170,48,278
0,0,0,11290,성북구,z,기타연료,1,사업용,0,0,3,0,3
0,0,0,11290,성북구,q,수소,2,비사업용,73,0,0,0,73
0,0,0,11290,성북구,r,수소전기,2,비사업용,14,0,0,0,14
0,0,0,11290,성북구,r,수소전기,1,사업용,0,1,0,0,1
0,0,0,11290,성북구,c,엘피지,2,비사업용,4554,346,972,10,5882
0,0,0,11290,성북구,c,엘피지,1,사업용,1641,10,381,2,2034
0,0,0,11290,성북구,e,전기,2,비사업용,2642,7,270,2,2921
0,0,0,11290,성북구,e,전기,1,사업용,278,173,161,0,612
0,0,0,11290,성북구,n,하이브리드(LPG+전기),2,비사업용,41,0,0,0,41
0,0,0,11290,성북구,n,하이브리드(LPG+전기),1,사업용,7,0,0,0,7
0,0,0,11290,성북구,m,하이브리드(경유+전기),2,비사업용,200,0,0,0,200
0,0,0,11290,성북구,l,하이브리드(휘발유+전기),2,비사업용,12069,29,41,0,12139
0,0,0,11290,성북구,l,하이브리드(휘발유+전기),1,사업용,43,0,1,0,44
0,0,0,11290,성북구,a,휘발유,2,비사업용,20565,14,110,3,20692
0,0,0,11290,성북구,a,휘발유,1,사업용,7,0,0,0,7
0,0,0,11290,성북구,h,휘발유(무연),2,비사업용,42186,17,50,0,42253
0,0,0,11290,성북구,h,휘발유(무연),1,사업용,15,0,0,0,15
0,0,0,11290,성북구,g,휘발유(유연),2,비사업용,38,0,0,0,38
0,0,0,11305,강북구,j,CNG,2,비사업용,2,8,9,0,19
0,0,0,11305,강북구,j,CNG,1,사업용,0,539,0,0,539
0,0,0,11305,강북구,b,경유,2,비사업용,13935,1486,5386,129,20936
0,0,0,11305,강북구,b,경유,1,사업용,13,23,776,109,921
