연도,자치구명,행정동명,행정동코드,월,전력사용량
2018,종로구,청운효자동,11110515,1,4128.255
2018,종로구,청운효자동,11110515,2,4278.667
2018,종로구,청운효자동,11110515,3,3247.733
2018,종로구,청운효자동,11110515,4,3014.901
2018,종로구,청운효자동,11110515,5,2643.898
2018,종로구,청운효자동,11110515,6,2820.127
2018,종로구,청운효자동,11110515,7,3217.121
2018,종로구,청운효자동,11110515,8,4303.743
2018,종로구,청운효자동,11110515,9,3476.465
2018,종로구,청운효자동,11110515,10,2543.091
2018,종로구,청운효자동,11110515,11,2871.016
2018,종로구,청운효자동,11110515,12,3477.804
2019,종로구,청운효자동,11110515,1,4049.113
2019,종로구,청운효자동,11110515,2,3844.491
2019,종로구,청운효자동,11110515,3,3097.947
2019,종로구,청운효자동,11110515,4,3070.241
2019,종로구,청운효자동,11110515,5,2642.654
2019,종로구,청운효자동,11110515,6,2727.751
2019,종로구,청운효자동,11110515,7,3029.011
2019,종로구,청운효자동,11110515,8,3760.644
2019,종로구,청운효자동,11110515,9,3374.319
2019,종로구,청운효자동,11110515,10,2672.371
2019,종로구,청운효자동,11110515,11,2784.696
2019,종로구,청운효자동,11110515,12,3398.422
2020,종로구,청운효자동,11110515,1,3732.7
2020,종로구,청운효자동,11110515,2,3545.915
2020,종로구,청운효자동,11110515,3,3047.62
2020,종로구,청운효자동,11110515,4,2808.703
2020,종로구,청운효자동,11110515,5,2527.793
2020,종로구,청운효자동,11110515,6,2737.07
2020,종로구,청운효자동,11110515,7,3020.651
2020,종로구,청운효자동,11110515,8,3337.887
2020,종로구,청운효자동,11110515,9,2957.42
2020,종로구,청운효자동,11110515,10,2536.483
2020,종로구,청운효자동,11110515,11,2811.059
2020,종로구,청운효자동,11110515,12,3391.403
2021,종로구,청운효자동,11110515,1,4082.435
2021,종로구,청운효자동,11110515,2,3854.231
2021,종로구,청운효자동,11110515,3,3058.796
2021,종로구,청운효자동,11110515,4,2864.935
2021,종로구,청운효자동,11110515,5,2555.726
2021,종로구,청운효자동,11110515,6,2753.712
2021,종로구,청운효자동,11110515,7,3283.058
2021,종로구,청운효자동,11110515,8,4020.516
2021,종로구,청운효자동,11110515,9,3223.53
2021,종로구,청운효자동,11110515,10,2659.89
2021,종로구,청운효자동,11110515,11,2831.411
2021,종로구,청운효자동,11110515,12,3399.817
2022,종로구,청운효자동,11110515,1,4239.154
2022,종로구,청운효자동,11110515,2,4092.465
2022,종로구,청운효자동,11110515,3,3353.741
2022,종로구,청운효자동,11110515,4,3049.199
2022,종로구,청운효자동,11110515,5,2608.083
2022,종로구,청운효자동,11110515,6,2798.398
2022,종로구,청운효자동,11110515,7,3465.531
