행정동코드,연도,월,시간대구분,총생활인구수,월별총인구,시간대비율
11110515,2023,1,0,473484.4645,12386448.436,0.03822600699033823
11110515,2023,1,1,477423.0105,12386448.436,0.038543979169397474
11110515,2023,1,2,479292.9455,12386448.436,0.03869494536520912
11110515,2023,1,3,479819.2919,12386448.436,0.03873743909557256
11110515,2023,1,4,480626.0252,12386448.436,0.03880256941151165
11110515,2023,1,5,480163.3235,12386448.436,0.03876521393367709
11110515,2023,1,6,489921.9889,12386448.436,0.03955306409511944
11110515,2023,1,7,503153.8669,12386448.436,0.040621318491718135
11110515,2023,1,8,518157.4299,12386448.436,0.04183260702834124
11110515,2023,1,9,536792.2586,12386448.436,0.04333705996303717
11110515,2023,1,10,561643.0868,12386448.436,0.0453433516235081
11110515,2023,1,11,586683.7168,12386448.436,0.047364966627145615
11110515,2023,1,12,598675.8667,12386448.436,0.048333133568780474
11110515,2023,1,13,608124.2314,12386448.436,0.04909593210209849
11110515,2023,1,14,612235.2415,12386448.436,0.049427827892989745
11110515,2023,1,15,595885.1891,12386448.436,0.04810783269949423
11110515,2023,1,16,556278.95,12386448.436,0.04491028666322379
11110515,2023,1,17,518018.4131,12386448.436,0.04182138373049939
11110515,2023,1,18,490115.6487,12386448.436,0.03956869890771327
11110515,2023,1,19,480677.1386,12386448.436,0.03880669596968239
11110515,2023,1,20,467510.527,12386448.436,0.03774371075095476
11110515,2023,1,21,460331.6495,12386448.436,0.03716413561792992
11110515,2023,1,22,459475.2564,12386448.436,0.03709499609787904
11110515,2023,1,23,471958.915,12386448.436,0.03810284420417862
11110515,2023,12,0,464963.2291,12374908.5546,0.03757306383707893
11110515,2023,12,1,466998.9614,12374908.5546,0.03773756867289392
11110515,2023,12,2,467115.2278,12374908.5546,0.03774696400696746
11110515,2023,12,3,466835.3877,12374908.5546,0.03772435049845019
11110515,2023,12,4,467204.4992,12374908.5546,0.037754177910779854
11110515,2023,12,5,465788.7352,12374908.5546,0.0376397718936563
11110515,2023,12,6,472011.8328,12374908.5546,0.03814265218344129
11110515,2023,12,7,499138.6453,12374908.5546,0.0403347340384556
11110515,2023,12,8,538370.3,12374908.5546,0.043504992188396985
11110515,2023,12,9,564689.3921,12374908.5546,0.045631803225737275
11110515,2023,12,10,589250.7802,12374908.5546,0.04761657652661714
11110515,2023,12,11,604895.8928,12374908.5546,0.04888083739213961
11110515,2023,12,12,616141.5415,12374908.5546,0.04978958339623188
11110515,2023,12,13,621450.0201,12374908.5546,0.05021855453380256
11110515,2023,12,14,621979.2367,12374908.5546,0.05026131982759565
11110515,2023,12,15,602533.8241,12374908.5546,0.04868996174327495
11110515,2023,12,16,550533.7623000001,12374908.5546,0.04448790549610612
11110515,2023,12,17,512574.4483,12374908.5546,0.041420463516028634
11110515,2023,12,18,487439.1906,12374908.5546,0.03938931657145936
11110515,2023,12,19,474496.1909,12374908.5546,0.03834340987704675
11110515,2023,12,20,463347.4104,12374908.5546,0.037442491664131494
11110515,2023,12,21,449175.6086,12374908.5546,0.0362972870965606
11110515,2023,12,22,445845.039,12374908.5546,0.03602814817037743
11110515,2023,12,23,462129.3985,12374908.5546,0.037344065732769986
11110530,2023,1,0,390539.2435,17288772.1797,0.022589183282694908
11110530,2023,1,1,379710.9058,17288772.1797,0.021962861321398297
11110530,2023,1,2,375412.9548,17288772.1797,0.02171426350569878
11110530,2023,1,3,373095.0218,17288772.1797,0.02158019192583716
11110530,2023,1,4,377845.6057,17288772.1797,0.02185497048446598
11110530,2023,1,5,398085.5886,17288772.1797,0.023025671485649005
11110530,2023,1,6,446280.3946,17288772.1797,0.025813307617299174
11110530,2023,1,7,551168.8513,17288772.1797,0.03188016161998868
11110530,2023,1,8,792445.8056,17288772.1797,0.045835863724924784
11110530,2023,1,9,907201.0254,17288772.1797,0.05247342124533346
11110530,2023,1,10,971003.1724,17288772.1797,0.056163801703635455
11110530,2023,1,11,1051275.1269,17288772.1797,0.06080681241981883
11110530,2023,1,12,1091835.0115,17288772.1797,0.063152837006089
11110530,2023,1,13,1105830.2135,17288772.1797,0.0639623335888731
11110530,2023,1,14,1104608.3228,17288772.1797,0.06389165819982293
11110530,2023,1,15,1086849.0275,17288772.1797,0.06286444266852845
11110530,2023,1,16,1052823.7836,17288772.1797,0.06089638828350094
11110530,2023,1,17,1014160.5315,17288772.1797,0.0586600668317441
11110530,2023,1,18,899056.3827,17288772.1797,0.05200232690645593
11110530,2023,1,19,764649.6002,17288772.1797,0.04422810320202094
11110530,2023,1,20,679950.1562,17288772.1797,0.03932900203279784
11110530,2023,1,21,582950.3778,17288772.1797,0.03371843713022515
11110530,2023,1,22,486218.6911,17288772.1797,0.0281233789216625
11110530,2023,1,23,405776.3849,17288772.1797,0.023470514891534722
11110530,2023,12,0,399670.0127,19534461.2557,0.020459740735536257
11110530,2023,12,1,389044.9766,19534461.2557,0.01991582831527948
11110530,2023,12,2,383708.6161,19534461.2557,0.019642651572386562
11110530,2023,12,3,381838.4793,19534461.2557,0.019546916308663623
11110530,2023,12,4,388277.4062,19534461.2557,0.019876535171232522
11110530,2023,12,5,416076.4562,19534461.2557,0.021299612554126223
11110530,2023,12,6,474932.3589,19534461.2557,0.024312539398106948
11110530,2023,12,7,596430.685,19534461.2557,0.03053223107578492
11110530,2023,12,8,859324.6828,19534461.2557,0.043990191055269356
11110530,2023,12,9,1003190.1712,19534461.2557,0.05135489318433479
11110530,2023,12,10,1086610.6046,19534461.2557,0.055625317247125806
11110530,2023,12,11,1176593.0774,19534461.2557,0.06023166249628101
11110530,2023,12,12,1216581.1351,19534461.2557,0.06227871448182434
11110530,2023,12,13,1232318.2055,19534461.2557,0.06308432003162714
11110530,2023,12,14,1227470.1574,19534461.2557,0.06283614077362046
11110530,2023,12,15,1213085.6175,19534461.2557,0.06209977340153321
11110530,2023,12,16,1196773.6249,19534461.2557,0.0612647366740555
11110530,2023,12,17,1210005.1123,19534461.2557,0.06194207746307465
11110530,2023,12,18,1124114.5486,19534461.2557,0.057545203519344175
11110530,2023,12,19,982494.6509,19534461.2557,0.050295456733587464
11110530,2023,12,20,861439.5707,19534461.2557,0.044098455515308305
11110530,2023,12,21,715246.1,19534461.2557,0.03661458028648202
11110530,2023,12,22,563157.4062,19534461.2557,0.028828919253438594
11110530,2023,12,23,436077.5996,19534461.2557,0.022323502751976643
11110540,2023,1,0,106610.0836,4004133.7154,0.02662500585082234
11110540,2023,1,1,109574.8956,4004133.7154,0.027365443661027646
11110540,2023,1,2,111096.6496,4004133.7154,0.027745489410785525
11110540,2023,1,3,112577.3342,4004133.7154,0.028115278410165152
11110540,2023,1,4,115078.5338,4004133.7154,0.028739932774323955
