연도,자치구명,행정동명,행정동코드,월,전력사용량,평균생활인구,전력효율지표
2022,종로구,청운효자동,11110515,6,2798.398,19439.77901597222,0.14395215077809087
2022,종로구,청운효자동,11110515,7,3465.531,17142.593969623656,0.20215907850007142
2022,종로구,청운효자동,11110515,8,3954.046,16874.88044341398,0.23431549712360816
2022,종로구,청운효자동,11110515,9,3361.931,18258.017744722223,0.18413450172989457
2022,종로구,청운효자동,11110515,10,2731.84,18879.60740376344,0.14469792414515137
2022,종로구,청운효자동,11110515,11,2811.317,18496.671058055555,0.15199043066593504
2022,종로구,청운효자동,11110515,12,3526.168,17336.817980107528,0.20339187987357124
2023,종로구,청운효자동,11110515,1,4225.082,16648.452198924733,0.25378227053881225
2023,종로구,청운효자동,11110515,2,3887.327,17246.679425892857,0.2253956778580729
2023,종로구,청운효자동,11110515,3,3056.376,18490.636365994622,0.16529317539448546
2023,종로구,청운효자동,11110515,4,2848.263,18586.757700416667,0.15324151989866147
2023,종로구,청운효자동,11110515,5,2624.542,18551.474625,0.14147349755491473
2023,종로구,청운효자동,11110515,6,2891.552,17800.88521611111,0.16243866329652712
2023,종로구,청운효자동,11110515,7,3405.131,16290.124041129031,0.2090303911377705
2023,종로구,청운효자동,11110515,8,4030.694,16296.311331586021,0.24733781271026545
2023,종로구,청운효자동,11110515,9,3771.483,17845.275959305556,0.2113434955335242
2023,종로구,청운효자동,11110515,10,2752.241,18327.989951747313,0.15016600332310925
2023,종로구,청운효자동,11110515,11,2854.197,17302.361216527777,0.164959970739345
2023,종로구,청운효자동,11110515,12,3525.026,16632.941605645163,0.21193040194427293
2024,종로구,청운효자동,11110515,1,3994.913,15537.559064247313,0.2571132945323755
2024,종로구,청운효자동,11110515,2,3746.081,16113.444675431036,0.23248169931733062
2024,종로구,청운효자동,11110515,3,3201.899,17433.05382325269,0.18366827937680194
2024,종로구,청운효자동,11110515,4,2947.767,17775.362995694442,0.16583441928662776
2024,종로구,청운효자동,11110515,5,2609.327,17685.65220685484,0.1475392012395586
2024,종로구,청운효자동,11110515,6,2959.189,16855.090506805554,0.17556648531819943
2024,종로구,청운효자동,11110515,7,3461.713,15968.572914381719,0.21678286585536333
2024,종로구,청운효자동,11110515,8,4317.63,15330.301593951614,0.2816402517288681
2024,종로구,청운효자동,11110515,9,4233.126,16154.63260638889,0.2620378997864593
2024,종로구,청운효자동,11110515,10,3074.454,17069.667477284947,0.18011212017406059
2024,종로구,청운효자동,11110515,11,2843.679,16684.48261111111,0.1704385485772414
2024,종로구,청운효자동,11110515,12,3492.608,15461.717402688173,0.2258874553866038
2025,종로구,청운효자동,11110515,1,4088.473,14694.800074462366,0.2782258335794054
2025,종로구,청운효자동,11110515,2,4011.172,14854.773825595239,0.2700257874736959
2025,종로구,청운효자동,11110515,3,3430.843,16275.415534543012,0.2107991032682615
2025,종로구,청운효자동,11110515,4,3120.919,17022.642864583333,0.18333927491912938
2025,종로구,청운효자동,11110515,5,2757.009,17263.03687002688,0.1597059092648342
2022,종로구,사직동,11110530,6,18192.044,25510.779790694443,0.7131120314337042
2022,종로구,사직동,11110530,7,22150.916,24657.393893682794,0.8983478179206542
2022,종로구,사직동,11110530,8,23308.238,25047.306460215055,0.9305686436592543
2022,종로구,사직동,11110530,9,19386.386,25444.239283194445,0.7619165102257323
2022,종로구,사직동,11110530,10,15830.533,25975.041305510753,0.609451696873393
2022,종로구,사직동,11110530,11,15293.824,25542.16031597222,0.5987678336838387
2022,종로구,사직동,11110530,12,18548.649,24976.35326317204,0.7426484084588212
2023,종로구,사직동,11110530,1,20072.814,23237.597015725805,0.8638076469961987
2023,종로구,사직동,11110530,2,19025.417,25371.397793005952,0.7498765797304504
2023,종로구,사직동,11110530,3,15920.326,25468.54478844086,0.6250975912540393
2023,종로구,사직동,11110530,4,15228.587,25230.178359027777,0.6035861809336341
2023,종로구,사직동,11110530,5,15913.038,25193.471073387096,0.6316334082606664
2023,종로구,사직동,11110530,6,18541.607,24884.239880138888,0.7451144615752882
2023,종로구,사직동,11110530,7,21769.546,24451.142469489245,0.8903283773821444
2023,종로구,사직동,11110530,8,23792.189,24702.538972446233,0.9631475139676265
2023,종로구,사직동,11110530,9,21202.756,24635.394204444445,0.860662339073707
2023,종로구,사직동,11110530,10,15604.895,25308.006033870966,0.616599149657037
2023,종로구,사직동,11110530,11,15760.606,26081.883544166667,0.6042740729714259
2023,종로구,사직동,11110530,12,17927.281,26255.99631142473,0.6827880681945149
2024,종로구,사직동,11110530,1,19920.963,25131.786355107528,0.7926600488528929
2024,종로구,사직동,11110530,2,18107.699,23981.37284683908,0.7550734945679612
2024,종로구,사직동,11110530,3,16351.764,25006.396864112903,0.6539032427925148
2024,종로구,사직동,11110530,4,15448.373,25456.54438875,0.6068527119818781
2024,종로구,사직동,11110530,5,15486.252,24876.538125672043,0.62252440117536
2024,종로구,사직동,11110530,6,18480.38,24123.71442708333,0.7660669361618855
2024,종로구,사직동,11110530,7,21876.318,24642.655027150537,0.8877419245571279
2024,종로구,사직동,11110530,8,24754.502,23491.846496639784,1.0537486699285568
2024,종로구,사직동,11110530,9,22548.422,23107.422936805557,0.9758085988933374
2024,종로구,사직동,11110530,10,18921.901,25482.413033198925,0.7425474571559697
2024,종로구,사직동,11110530,11,17393.287,25388.358589583335,0.685089070986115
